parameter_set_id,manifest_id,boarding_policy,load_factor,luggage_probability,cross_zone_violation_rate,stow_dist,stow_shape_k,stow_scale_lambda_s,shuffle_model,shuffle_low_s,shuffle_mode_s,shuffle_high_s,total_ticks,total_seconds,avg_boarding_seconds,avg_wait_seconds,luggage_passengers,avg_assigned_stow_seconds,row_conflict_count,seat_shuffle_starts,seat_shuffle_finishes,boarding_completion_success
P02_wb_k1.7_l14_tri_15_20.5_26,25,std,0.85,0.75,0.05,weibull,1.7,14.0,triangular,15.0,20.5,26.0,1560,780.0,99.86088709677419,80.10282258064517,193,12.046632124352332,2531,60,60,True
P02_wb_k1.7_l14_tri_15_20.5_26,26,std,0.85,0.75,0.05,weibull,1.7,14.0,triangular,15.0,20.5,26.0,1591,795.5,119.07056451612904,99.43145161290323,186,12.489247311827956,2801,67,67,True
P02_wb_k1.7_l14_tri_15_20.5_26,27,std,0.85,0.75,0.05,weibull,1.7,14.0,triangular,15.0,20.5,26.0,1610,805.0,106.6008064516129,87.03629032258064,185,12.286486486486487,2830,68,67,True
P02_wb_k1.7_l14_tri_15_20.5_26,28,std,0.85,0.75,0.05,weibull,1.7,14.0,triangular,15.0,20.5,26.0,1529,764.5,111.25403225806451,91.3649193548387,174,13.114942528735632,2217,53,53,True
P02_wb_k1.7_l14_tri_15_20.5_26,29,std,0.85,0.75,0.05,weibull,1.7,14.0,triangular,15.0,20.5,26.0,1318,659.0,79.90322580645162,60.56653225806452,177,12.333333333333334,2512,60,60,True
P02_wb_k1.7_l14_tri_15_20.5_26,30,std,0.85,0.75,0.05,weibull,1.7,14.0,triangular,15.0,20.5,26.0,1404,702.0,94.62096774193549,74.80443548387096,188,11.96808510638298,2263,55,55,True
P03_wb_k1.7_l14_tri_15_21.0_26,1,std,0.85,0.75,0.05,weibull,1.7,14.0,triangular,15.0,21.0,26.0,1459,729.5,100.01209677419355,80.16733870967742,186,12.387096774193548,2436,58,58,True
P03_wb_k1.7_l14_tri_15_21.0_26,2,std,0.85,0.75,0.05,weibull,1.7,14.0,triangular,15.0,21.0,26.0,1434,717.0,102.31451612903226,82.38911290322581,192,13.161458333333334,2363,57,56,True
P03_wb_k1.7_l14_tri_15_21.0_26,3,std,0.85,0.75,0.05,weibull,1.7,14.0,triangular,15.0,21.0,26.0,1590,795.0,100.1008064516129,80.09879032258064,185,11.827027027027027,2336,56,56,True
P03_wb_k1.7_l14_tri_15_21.0_26,4,std,0.85,0.75,0.05,weibull,1.7,14.0,triangular,15.0,21.0,26.0,1520,760.0,104.84879032258064,85.3225806451613,188,12.617021276595745,2684,64,64,True
