replication_id,scenario_seed,boarding_time_zonal,boarding_time_pyramid,difference,ratio,relative_improvement,pair_completed,zonal_error,pyramid_error
69,20260481,740.5,458.0,282.5,0.6185010128291695,0.38149898717083053,True,,
70,20260482,698.5,457.0,241.5,0.6542591267000716,0.3457408732999284,True,,
71,20260483,727.5,502.5,225.0,0.6907216494845361,0.30927835051546393,True,,
72,20260484,709.5,484.0,225.5,0.6821705426356589,0.3178294573643411,True,,
73,20260485,731.0,434.5,296.5,0.594391244870041,0.405608755129959,True,,
74,20260486,722.0,557.5,164.5,0.7721606648199446,0.2278393351800554,True,,
75,20260487,783.5,521.5,262.0,0.6656030631780472,0.33439693682195276,True,,
76,20260488,654.0,461.0,193.0,0.7048929663608563,0.29510703363914376,True,,
77,20260489,788.0,509.0,279.0,0.6459390862944162,0.35406091370558374,True,,
78,20260490,739.5,580.0,159.5,0.7843137254901961,0.21568627450980393,True,,
79,20260491,707.5,501.5,206.0,0.7088339222614841,0.2911660777385159,True,,
80,20260492,749.5,519.5,230.0,0.6931287525016678,0.3068712474983322,True,,
81,20260493,783.5,547.0,236.5,0.6981493299298022,0.30185067007019784,True,,
82,20260494,673.5,555.5,118.0,0.8247958426132146,0.17520415738678544,True,,
83,20260495,689.0,511.5,177.5,0.7423802612481858,0.2576197387518142,True,,
84,20260496,825.0,501.5,323.5,0.6078787878787879,0.39212121212121215,True,,
85,20260497,665.5,495.0,170.5,0.743801652892562,0.256198347107438,True,,
86,20260498,693.5,569.5,124.0,0.8211968276856525,0.1788031723143475,True,,
87,20260499,693.5,454.5,239.0,0.6553713049747657,0.3446286950252343,True,,
88,20260500,841.5,515.5,326.0,0.6125965537730244,0.38740344622697565,True,,
89,20260501,728.5,537.5,191.0,0.7378174330816747,0.2621825669183253,True,,
90,20260502,706.5,577.0,129.5,0.8167020523708421,0.18329794762915783,True,,
91,20260503,830.5,433.0,397.5,0.5213726670680313,0.4786273329319687,True,,
92,20260504,770.0,522.0,248.0,0.6779220779220779,0.3220779220779221,True,,
93,20260505,720.5,492.5,228.0,0.6835530881332408,0.3164469118667592,True,,
94,20260506,638.0,495.5,142.5,0.7766457680250783,0.22335423197492163,True,,
95,20260507,913.0,505.5,407.5,0.5536692223439211,0.44633077765607887,True,,
96,20260508,744.5,507.5,237.0,0.6816655473472129,0.3183344526527871,True,,
97,20260509,697.0,517.0,180.0,0.7417503586800573,0.2582496413199426,True,,
98,20260510,829.5,559.0,270.5,0.6738999397227246,0.32610006027727545,True,,
99,20260511,940.0,482.0,458.0,0.5127659574468085,0.48723404255319147,True,,
100,20260512,677.5,520.5,157.0,0.7682656826568266,0.23173431734317343,True,,
101,20260513,709.5,504.5,205.0,0.7110641296687809,0.28893587033121915,True,,
102,20260514,736.0,471.5,264.5,0.640625,0.359375,True,,
103,20260515,706.5,493.0,213.5,0.6978060863411182,0.3021939136588818,True,,
104,20260516,763.5,540.5,223.0,0.7079240340537001,0.2920759659462999,True,,
105,20260517,635.5,482.5,153.0,0.7592446892210858,0.24075531077891424,True,,
106,20260518,785.5,507.0,278.5,0.645448758752387,0.354551241247613,True,,
107,20260519,883.5,552.5,331.0,0.6253537068477646,0.3746462931522354,True,,
108,20260520,649.5,478.0,171.5,0.7359507313317937,0.2640492686682063,True,,
109,20260521,789.0,492.0,297.0,0.623574144486692,0.376425855513308,True,,
110,20260522,654.0,476.0,178.0,0.72782874617737,0.27217125382262997,True,,
111,20260523,753.0,488.5,264.5,0.648738379814077,0.351261620185923,True,,
112,20260524,617.0,469.5,147.5,0.7609400324149108,0.23905996758508913,True,,
113,20260525,731.0,534.5,196.5,0.7311901504787962,0.26880984952120385,True,,
114,20260526,772.5,489.5,283.0,0.6336569579288026,0.3663430420711974,True,,
115,20260527,691.0,532.5,158.5,0.7706222865412445,0.22937771345875543,True,,
116,20260528,714.5,577.0,137.5,0.8075577326801959,0.19244226731980407,True,,
117,20260529,663.5,461.0,202.5,0.694800301431801,0.30519969856819895,True,,
118,20260530,687.5,501.5,186.0,0.7294545454545455,0.27054545454545453,True,,
119,20260531,715.5,544.5,171.0,0.7610062893081762,0.2389937106918239,True,,
120,20260532,743.5,528.5,215.0,0.710827168796234,0.28917283120376597,True,,
121,20260533,654.0,549.0,105.0,0.8394495412844036,0.16055045871559634,True,,
122,20260534,692.0,490.5,201.5,0.7088150289017341,0.2911849710982659,True,,
123,20260535,814.0,531.5,282.5,0.652948402948403,0.34705159705159705,True,,
124,20260536,789.5,452.5,337.0,0.5731475617479417,0.42685243825205826,True,,
125,20260537,709.0,456.0,253.0,0.6431593794076164,0.35684062059238364,True,,
126,20260538,735.0,480.0,255.0,0.6530612244897959,0.3469387755102041,True,,
127,20260539,734.5,444.0,290.5,0.6044928522804629,0.3955071477195371,True,,
128,20260540,706.0,487.5,218.5,0.6905099150141643,0.3094900849858357,True,,
129,20260541,795.0,587.0,208.0,0.7383647798742138,0.26163522012578616,True,,
130,20260542,714.0,493.5,220.5,0.6911764705882353,0.3088235294117647,True,,
131,20260543,769.5,447.5,322.0,0.5815464587394412,0.4184535412605588,True,,
132,20260544,711.5,516.5,195.0,0.7259311314125088,0.27406886858749124,True,,
133,20260545,727.0,494.5,232.5,0.6801925722145805,0.31980742778541954,True,,
134,20260546,730.0,466.0,264.0,0.6383561643835617,0.36164383561643837,True,,
135,20260547,755.0,605.0,150.0,0.8013245033112583,0.1986754966887417,True,,
136,20260548,661.5,471.0,190.5,0.7120181405895691,0.28798185941043086,True,,
137,20260549,691.5,440.5,251.0,0.6370209689081706,0.36297903109182933,True,,
138,20260550,628.0,516.5,111.5,0.822452229299363,0.17754777070063693,True,,
139,20260551,728.0,488.0,240.0,0.6703296703296703,0.32967032967032966,True,,
140,20260552,820.0,493.0,327.0,0.6012195121951219,0.39878048780487807,True,,
141,20260553,774.0,469.5,304.5,0.6065891472868217,0.39341085271317827,True,,
142,20260554,720.5,447.0,273.5,0.6204024982650936,0.3795975017349063,True,,
143,20260555,757.0,458.0,299.0,0.6050198150594451,0.3949801849405548,True,,
144,20260556,656.0,494.5,161.5,0.7538109756097561,0.2461890243902439,True,,
145,20260557,717.5,497.5,220.0,0.6933797909407665,0.30662020905923343,True,,
146,20260558,732.0,435.0,297.0,0.5942622950819673,0.4057377049180328,True,,
147,20260559,689.5,484.5,205.0,0.7026831036983321,0.29731689630166785,True,,
148,20260560,747.5,523.0,224.5,0.6996655518394649,0.3003344481605351,True,,
149,20260561,670.0,478.0,192.0,0.7134328358208956,0.2865671641791045,True,,
150,20260562,740.5,561.5,179.0,0.7582714382174207,0.24172856178257934,True,,
151,20260563,706.5,465.5,241.0,0.6588818117480538,0.34111818825194623,True,,
152,20260564,699.0,484.5,214.5,0.6931330472103004,0.30686695278969955,True,,
153,20260565,707.5,511.0,196.5,0.72226148409894,0.2777385159010601,True,,
154,20260566,753.5,569.0,184.5,0.7551426675514267,0.24485733244857333,True,,
155,20260567,665.5,437.5,228.0,0.6574004507888805,0.34259954921111946,True,,
156,20260568,731.0,548.0,183.0,0.7496580027359782,0.2503419972640219,True,,
157,20260569,684.5,517.0,167.5,0.7552958363769174,0.24470416362308253,True,,
158,20260570,769.5,516.5,253.0,0.6712150747238467,0.32878492527615333,True,,
159,20260571,689.0,548.0,141.0,0.795355587808418,0.204644412191582,True,,
160,20260572,754.0,501.0,253.0,0.6644562334217506,0.33554376657824936,True,,
161,20260573,666.5,478.5,188.0,0.7179294823705926,0.2820705176294073,True,,
162,20260574,743.5,476.0,267.5,0.6402151983860122,0.3597848016139879,True,,
163,20260575,682.5,450.5,232.0,0.6600732600732601,0.33992673992673994,True,,
164,20260576,697.0,476.0,221.0,0.6829268292682927,0.3170731707317073,True,,
165,20260577,726.5,489.0,237.5,0.6730901582931865,0.3269098417068135,True,,
166,20260578,823.0,546.5,276.5,0.6640340218712029,0.3359659781287971,True,,
167,20260579,693.0,497.0,196.0,0.7171717171717171,0.2828282828282828,True,,
168,20260580,650.5,463.5,187.0,0.7125288239815527,0.28747117601844735,True,,
169,20260581,702.5,481.5,221.0,0.6854092526690392,0.3145907473309609,True,,
170,20260582,662.0,565.5,96.5,0.8542296072507553,0.14577039274924472,True,,
171,20260583,743.0,500.5,242.5,0.6736204576043069,0.3263795423956931,True,,
172,20260584,741.0,552.5,188.5,0.7456140350877193,0.2543859649122807,True,,
173,20260585,792.5,534.0,258.5,0.6738170347003155,0.32618296529968455,True,,
174,20260586,662.5,504.5,158.0,0.7615094339622641,0.23849056603773586,True,,
175,20260587,811.0,453.0,358.0,0.5585696670776819,0.44143033292231815,True,,
176,20260588,790.5,577.0,213.5,0.7299177735610373,0.2700822264389627,True,,
177,20260589,768.0,532.0,236.0,0.6927083333333334,0.3072916666666667,True,,
178,20260590,724.5,527.0,197.5,0.7273982056590752,0.2726017943409248,True,,
179,20260591,712.0,522.5,189.5,0.7338483146067416,0.26615168539325845,True,,
180,20260592,812.0,561.5,250.5,0.6915024630541872,0.30849753694581283,True,,
181,20260593,821.0,498.0,323.0,0.6065773447015834,0.3934226552984166,True,,
182,20260594,783.0,510.0,273.0,0.6513409961685823,0.3486590038314176,True,,
183,20260595,671.5,527.0,144.5,0.7848101265822784,0.21518987341772153,True,,
184,20260596,740.5,544.5,196.0,0.7353139770425389,0.2646860229574612,True,,
185,20260597,778.5,440.0,338.5,0.565189466923571,0.43481053307642903,True,,
186,20260598,792.0,496.0,296.0,0.6262626262626263,0.37373737373737376,True,,
187,20260599,651.0,493.5,157.5,0.7580645161290323,0.24193548387096775,True,,
188,20260600,825.0,493.0,332.0,0.5975757575757575,0.4024242424242424,True,,
189,20260601,809.0,572.5,236.5,0.707663782447466,0.292336217552534,True,,
190,20260602,661.0,452.5,208.5,0.6845688350983359,0.3154311649016641,True,,
191,20260603,732.0,526.0,206.0,0.7185792349726776,0.2814207650273224,True,,
192,20260604,653.0,456.5,196.5,0.6990811638591118,0.3009188361408882,True,,
193,20260605,718.0,582.5,135.5,0.8112813370473537,0.18871866295264625,True,,
194,20260606,634.0,474.0,160.0,0.7476340694006309,0.25236593059936907,True,,
195,20260607,719.5,518.0,201.5,0.7199444058373871,0.28005559416261294,True,,
196,20260608,721.0,532.5,188.5,0.7385575589459085,0.26144244105409153,True,,
197,20260609,831.0,508.0,323.0,0.6113116726835138,0.38868832731648617,True,,
198,20260610,699.5,465.0,234.5,0.6647605432451751,0.33523945675482486,True,,
199,20260611,811.5,522.0,289.5,0.6432532347504621,0.3567467652495379,True,,
200,20260612,867.0,553.5,313.5,0.6384083044982699,0.3615916955017301,True,,
201,20260613,735.0,525.5,209.5,0.7149659863945578,0.28503401360544217,True,,
202,20260614,743.5,498.5,245.0,0.6704774714189644,0.32952252858103565,True,,
203,20260615,743.5,478.5,265.0,0.6435776731674513,0.35642232683254876,True,,
204,20260616,794.0,553.5,240.5,0.697103274559194,0.30289672544080604,True,,
205,20260617,677.0,510.0,167.0,0.7533234859675036,0.2466765140324963,True,,
206,20260618,681.5,461.5,220.0,0.6771826852531181,0.32281731474688186,True,,
207,20260619,801.0,536.0,265.0,0.6691635455680399,0.33083645443196,True,,
208,20260620,691.0,467.0,224.0,0.6758321273516642,0.32416787264833574,True,,
209,20260621,730.0,466.0,264.0,0.6383561643835617,0.36164383561643837,True,,
210,20260622,717.0,514.0,203.0,0.7168758716875872,0.28312412831241285,True,,
211,20260623,718.0,484.5,233.5,0.674791086350975,0.32520891364902504,True,,
212,20260624,695.5,517.0,178.5,0.7433501078360891,0.2566498921639109,True,,
213,20260625,677.0,508.0,169.0,0.7503692762186115,0.24963072378138848,True,,
214,20260626,767.0,531.0,236.0,0.6923076923076923,0.3076923076923077,True,,
215,20260627,711.5,421.5,290.0,0.5924104005621925,0.4075895994378074,True,,
216,20260628,806.0,495.5,310.5,0.6147642679900744,0.38523573200992556,True,,
217,20260629,711.0,460.0,251.0,0.6469760900140648,0.3530239099859353,True,,
218,20260630,790.5,560.5,230.0,0.709044908285895,0.290955091714105,True,,
219,20260631,734.0,478.5,255.5,0.6519073569482289,0.3480926430517711,True,,
220,20260632,764.0,534.5,229.5,0.699607329842932,0.30039267015706805,True,,
221,20260633,724.5,465.0,259.5,0.6418219461697723,0.3581780538302277,True,,
222,20260634,712.0,486.0,226.0,0.6825842696629213,0.31741573033707865,True,,
223,20260635,796.0,511.5,284.5,0.6425879396984925,0.3574120603015075,True,,
224,20260636,760.0,449.0,311.0,0.5907894736842105,0.40921052631578947,True,,
225,20260637,783.0,541.0,242.0,0.6909323116219668,0.3090676883780332,True,,
226,20260638,682.5,485.5,197.0,0.7113553113553114,0.2886446886446886,True,,
227,20260639,766.5,472.5,294.0,0.6164383561643836,0.3835616438356164,True,,
228,20260640,809.5,508.5,301.0,0.62816553428042,0.37183446571958,True,,
229,20260641,829.5,513.5,316.0,0.6190476190476191,0.38095238095238093,True,,
230,20260642,726.5,584.5,142.0,0.8045423262216105,0.19545767377838955,True,,
231,20260643,736.5,511.0,225.5,0.6938221317040054,0.3061778682959946,True,,
232,20260644,752.5,464.5,288.0,0.6172757475083056,0.38272425249169434,True,,
233,20260645,648.0,513.5,134.5,0.7924382716049383,0.20756172839506173,True,,
234,20260646,690.5,458.0,232.5,0.663287472845764,0.33671252715423605,True,,
235,20260647,601.5,539.5,62.0,0.8969243557772236,0.10307564422277639,True,,
236,20260648,742.5,491.5,251.0,0.661952861952862,0.33804713804713804,True,,
237,20260649,667.5,458.0,209.5,0.6861423220973782,0.3138576779026217,True,,
238,20260650,717.5,543.0,174.5,0.756794425087108,0.243205574912892,True,,
239,20260651,701.5,526.0,175.5,0.7498218104062723,0.25017818959372773,True,,
240,20260652,821.5,510.0,311.5,0.620815581253804,0.37918441874619596,True,,
241,20260653,820.0,475.0,345.0,0.5792682926829268,0.42073170731707316,True,,
242,20260654,760.0,471.0,289.0,0.6197368421052631,0.38026315789473686,True,,
243,20260655,734.0,485.0,249.0,0.6607629427792916,0.33923705722070846,True,,
244,20260656,763.5,552.5,211.0,0.7236411263916176,0.27635887360838246,True,,
245,20260657,674.0,491.5,182.5,0.7292284866468842,0.2707715133531157,True,,
246,20260658,816.5,594.5,222.0,0.7281077770973668,0.2718922229026332,True,,
247,20260659,697.5,465.5,232.0,0.6673835125448029,0.3326164874551971,True,,
248,20260660,691.5,457.5,234.0,0.6616052060737527,0.3383947939262473,True,,
249,20260661,758.0,508.0,250.0,0.6701846965699209,0.32981530343007914,True,,
250,20260662,752.0,530.5,221.5,0.7054521276595744,0.2945478723404255,True,,
251,20260663,696.5,426.5,270.0,0.6123474515434314,0.38765254845656855,True,,
252,20260664,753.5,485.5,268.0,0.6443264764432648,0.35567352355673526,True,,
253,20260665,666.0,506.5,159.5,0.7605105105105106,0.23948948948948948,True,,
254,20260666,801.5,554.0,247.5,0.6912039925140362,0.3087960074859638,True,,
255,20260667,726.0,536.5,189.5,0.7389807162534435,0.2610192837465565,True,,
256,20260668,688.0,473.0,215.0,0.6875,0.3125,True,,
257,20260669,834.0,593.5,240.5,0.7116306954436451,0.2883693045563549,True,,
258,20260670,772.5,455.5,317.0,0.5896440129449838,0.4103559870550162,True,,
259,20260671,795.5,460.0,335.5,0.578252671275927,0.4217473287240729,True,,
260,20260672,668.0,487.0,181.0,0.7290419161676647,0.27095808383233533,True,,
261,20260673,727.5,522.5,205.0,0.718213058419244,0.281786941580756,True,,
262,20260674,773.5,515.0,258.5,0.6658047834518422,0.3341952165481577,True,,
263,20260675,703.0,533.5,169.5,0.7588904694167852,0.2411095305832148,True,,
264,20260676,605.5,406.5,199.0,0.671345995045417,0.32865400495458297,True,,
265,20260677,767.5,480.0,287.5,0.6254071661237784,0.3745928338762215,True,,
266,20260678,643.5,466.0,177.5,0.7241647241647242,0.27583527583527584,True,,
267,20260679,782.5,540.0,242.5,0.6900958466453674,0.30990415335463256,True,,
268,20260680,739.5,482.0,257.5,0.651791751183232,0.3482082488167681,True,,
269,20260681,653.0,561.5,91.5,0.8598774885145483,0.14012251148545177,True,,
270,20260682,803.5,488.5,315.0,0.6079651524579963,0.39203484754200374,True,,
271,20260683,793.0,458.0,335.0,0.5775535939470365,0.4224464060529634,True,,
272,20260684,669.0,486.0,183.0,0.726457399103139,0.273542600896861,True,,
273,20260685,752.0,508.5,243.5,0.6761968085106383,0.3238031914893617,True,,
274,20260686,645.0,434.5,210.5,0.6736434108527132,0.3263565891472868,True,,
