replication_id,n_completed_pairs,sample_mean_diff,sample_sd_diff,standard_error,t_critical,ci_half_width,ci_low,ci_high,cv,pair_completed,difference,error_a,error_b,stop_flag
67,67,267.1268656716418,82.96413716286484,10.13568253868749,1.9965644189523113,20.236543118539675,246.8903225531021,287.36340879018144,0.31057953289073587,True,233.0,,,False
68,68,266.24264705882354,82.66487336475444,10.024588365035015,1.9960083540252964,20.009162122274677,246.23348493654885,286.2518091810982,0.310486972233605,True,207.0,,,False
69,69,265.5869565217391,82.23535791903389,9.89997371689646,1.9954689314298433,19.755089974038913,245.8318665477002,285.34204649577805,0.3096362825796479,True,221.0,,,False
70,70,265.8071428571429,81.65805749610547,9.76000465020181,1.9949454151072374,19.470676528345415,246.33646632879746,285.27781938548827,0.3072079125427879,True,281.0,,,False
71,71,266.6267605633803,81.36631096071726,9.656404544307673,1.994437111771186,19.259091589443152,247.36766897393713,285.8858521528234,0.30516933404880614,True,324.0,,,False
72,72,266.30555555555554,80.8372367287535,9.526759710547308,1.9939433678456255,18.995819341904717,247.30973621365084,285.3013748974603,0.3035506959669475,True,243.5,,,False
73,73,267.972602739726,81.52772578882796,9.542098554615984,1.9934635666618719,19.021825818123872,248.95077692160214,286.9944285578499,0.30423903397323593,True,388.0,,,False
74,74,268.2364864864865,80.99920610861467,9.415966450250398,1.992997125889855,18.76599407282434,249.47049241366216,287.00248055931087,0.30196938220295144,True,287.5,,,False
75,75,267.9866666666667,80.47913836337781,9.292930439649062,1.9925434951809322,18.516568098691618,249.47009856797507,286.5032347653583,0.30031023320828576,True,249.5,,,False
76,76,268.42763157894734,80.03318911332426,9.180436407217368,1.9921021540022417,18.28836714149832,250.13926443744901,286.71599872044567,0.29815555366842206,True,301.5,,,False
77,77,268.1038961038961,79.55564659829794,9.066207346961267,1.991672609644664,18.056916846301974,250.0469792575941,286.1608129501981,0.2967343919816383,True,243.5,,,False
78,78,267.63461538461536,79.14595563076671,8.961514790614428,1.9912543953883846,17.844655716149,249.78995966846637,285.4792711007644,0.29572391268232157,True,231.5,,,False
79,79,268.05696202531647,78.7265222366192,8.857425765040384,1.9908470688116908,17.633780121547797,250.42318190376866,285.69074214686424,0.29369325699208637,True,301.0,,,False
80,80,269.4,79.14361245485995,8.848524871698292,1.9904502102301287,17.612548191098387,251.78745180890158,287.01254819109835,0.2937773290826279,True,375.5,,,False
81,81,270.8395061728395,79.7073485931698,8.856372065907756,1.9900634212544457,17.624742093382693,253.2147640794568,288.46424826622217,0.2942973487121321,True,386.0,,,False
82,82,270.3231707317073,79.35166968111237,8.762925979472369,1.9896863234569027,17.435473974821356,252.88769675688596,287.7586447065287,0.2935437220062353,True,228.5,,,False
83,83,270.2590361445783,78.86849820312132,8.656942341763834,1.9893185571365721,17.221416048532127,253.0376200960462,287.48045219311047,0.29182557345068627,True,265.0,,,False
84,84,270.7202380952381,78.5058263201381,8.565687895406889,1.9889597801751624,17.036808713497535,253.68342938174055,287.7570468087356,0.2899887606205493,True,309.0,,,False
85,85,270.55882352941177,78.0513190366527,8.465854185985533,1.9886096669757083,16.835279473457597,253.72354405595416,287.3941030028694,0.2884818836010644,True,257.0,,,False
86,86,269.3255813953488,78.42916502251309,8.457234364407698,1.9882679074772216,16.815247672765345,252.51033372258348,286.14082906811416,0.2912057763550698,True,164.5,,,False
87,87,269.0574712643678,78.01194099442205,8.36375798071463,1.98793420623902,16.626600582567203,252.4308706818006,285.684071846935,0.2899452694170676,True,246.0,,,False
88,88,270.76704545454544,79.20292390050201,8.443060056522963,1.9876082815890708,16.78149609029893,253.9855493642465,287.5485415448444,0.2925131593009832,True,419.5,,,False
89,89,270.3258426966292,78.86154081693071,8.359306607998159,1.9872898648311692,16.61236529909096,253.71347739753824,286.9382079957202,0.2917277165595758,True,231.5,,,False
90,90,271.25,78.90583386529495,8.317405189639326,1.986978699506281,16.52650694697634,254.72349305302367,287.7765069469763,0.29089708337435927,True,353.5,,,False
91,91,270.92857142857144,78.52613052101304,8.23177519116242,1.986674540703768,16.353858197079273,254.57471323149218,287.2824296256507,0.2898407137606598,True,242.0,,,False
92,92,271.57065217391306,78.33594116809266,8.167086436137161,1.9863771544186177,16.222913914905025,255.34773825900803,287.79356608881807,0.2884551056640927,True,330.0,,,False
93,93,272.61290322580646,78.5547140060138,8.145744381759988,1.98608631695113,16.178151457995053,256.4347517678114,288.7910546838015,0.2881547904610611,True,368.5,,,False
94,94,270.8989361702128,79.87885921439873,8.238875252064584,1.9858018143458227,16.36077342371875,254.53816274649404,287.2597095939315,0.2948659021835685,True,111.5,,,False
95,95,271.3315789473684,79.56466026053289,8.16316190183167,1.985523441866604,16.208149315839147,255.1234296315293,287.53972826320756,0.2932377446414612,True,312.0,,,False
96,96,271.6354166666667,79.20076020258055,8.083393739035468,1.9852510035054978,16.047565532150223,255.58785113451646,287.6829821988169,0.2915700801260779,True,300.5,,,False
97,97,272.1340206185567,78.94006545923246,8.015149273942853,1.984984311522457,15.909945563287176,256.2240750552695,288.04396618184387,0.29007790088061325,True,320.0,,,False
98,98,272.6887755102041,78.72389160747437,7.952313942434267,1.9847231860139842,15.783141864011565,256.90563364619254,288.47191737421565,0.2886950203952509,True,326.5,,,False
99,99,274.5959595959596,80.58727924024541,8.09932630653003,1.9844674545084815,16.07284945875323,258.52311013720634,290.6688090547128,0.29347583758632684,True,461.5,,,False
100,100,273.54,80.87159919004665,8.087159919004666,1.9842169515864172,16.046679801479296,257.49332019852073,289.5866798014793,0.29564816549699,True,169.0,,,False
101,101,272.03465346534654,81.87604220483982,8.14697069810183,1.983971518523552,16.16335782727997,255.87129563806656,288.1980112926265,0.3009765159028524,True,121.5,,,False
102,102,272.1127450980392,81.4735244265819,8.067081002863013,1.983731002955606,16.00291868873356,256.1098264093057,288.11566378677276,0.2994109092436221,True,280.0,,,False
103,103,271.1067961165049,81.71344150130648,8.05146463308025,1.9834952585628793,15.97004192420139,255.1367541923035,287.07683804070626,0.3014068355047474,True,168.5,,,False
104,104,270.6105769230769,81.47311655996735,7.989096368701789,1.9832641447734565,15.84448837718608,254.76608854589082,286.45506530026296,0.30107144179780787,True,219.5,,,False
105,105,270.6857142857143,81.08412823511362,7.913000665961561,1.9830375264837259,15.691777267692489,254.99393701802182,286.3774915534068,0.2995508220634343,True,278.5,,,False
106,106,270.85849056603774,80.71669310787786,7.839898287191178,1.9828152737950477,15.545070068842302,255.31342049719544,286.40356063488,0.29800318586726526,True,289.0,,,False
107,107,271.5373831775701,80.64140577372837,7.795898948940086,1.9825972617655003,15.456127909169156,256.081255268401,286.99351108673926,0.29698086071998947,True,343.5,,,False
108,108,270.64814814814815,80.7939359729215,7.7744001138092695,1.9823833701756908,15.411841498707494,255.23630664944065,286.0599896468556,0.29852018765225874,True,175.5,,,False
109,109,270.3348623853211,80.48550752470078,7.709113468652317,1.982173483307727,15.280800297373077,255.05406208794804,285.61566268269416,0.2977252242442226,True,236.5,,,False
110,110,270.1909090909091,80.1296822135408,7.64006542787491,1.9819674897364825,15.142361297507719,255.04854779340138,285.3332703884168,0.2965669070182527,True,254.5,,,False
111,111,269.3378378378378,80.26938061535958,7.618832442516919,1.981765282132372,15.09873762496381,254.239100212874,284.4365754628016,0.2980248941616883,True,175.5,,,False
112,112,269.875,80.10894889894445,7.569584163478162,1.9815667570749007,14.999636343228948,254.87536365677104,284.87463634322893,0.29683723538284185,True,329.5,,,False
113,113,270.08849557522126,79.78280309714573,7.505334781162448,1.9813718148763053,14.870858796606097,255.21763677861517,284.9593543718274,0.29539504423255136,True,294.0,,,False
114,114,270.0877192982456,79.4289977814002,7.439207235021327,1.981180359414661,14.738411263639701,255.34930803460588,284.8261305618853,0.29408592877816253,True,270.0,,,False
115,115,270.3391304347826,79.12580333635285,7.3785192067026495,1.980992297975857,14.61678971894488,255.7223407158377,284.95592015372745,0.2926908997935147,True,299.0,,,False
116,116,270.2413793103448,78.78806140964286,7.315287853888981,1.9808075411039092,14.490177346329126,255.7512019640157,284.73155665667394,0.29154699258385136,True,259.0,,,False
117,117,270.78632478632477,78.66886395648504,7.272939045579684,1.9806260024590898,14.404972187975117,256.3813525983497,285.19129697429986,0.2905200771071508,True,334.0,,,False
118,118,270.04237288135596,78.74771944252248,7.24931517361645,1.9804475986834023,14.35688882768785,255.68548405366812,284.3992617090438,0.29161245549090387,True,183.0,,,False
119,119,270.39915966386553,78.50986604933459,7.196987620931122,1.980272249272974,14.251994864091023,256.1471647997745,284.6511545279566,0.29034804008611037,True,312.5,,,False
120,120,269.54583333333335,78.73615646851307,7.187594831510151,1.9800998764569397,14.232155637895788,255.31367769543755,283.77798897122915,0.29210674672586817,True,168.0,,,False
121,121,270.07851239669424,78.62604022270183,7.147821838427439,1.9799304050824402,14.152189788014752,255.92632260867947,284.230702184709,0.2911229017257584,True,334.0,,,False
122,122,269.5245901639344,78.539137279075,7.110599387096834,1.9797637625053868,14.077306996267327,255.44728316766708,283.60189716020176,0.29139878194900404,True,202.5,,,False
123,123,270.4715447154472,78.9185173478391,7.11584307055215,1.9795998784866384,14.086522077795024,256.3850226376521,284.55806679324223,0.2917812202051283,True,386.0,,,False
