replication_id,scenario_seed,strategy,total_boarding_time,load_factor,luggage_probability,cross_zone_violation_rate,passenger_count,completed,error_message
163,20260575,pyramid,542.0,0.85,0.75,0.05,248,True,
164,20260576,std,737.5,0.85,0.75,0.05,248,True,
164,20260576,pyramid,512.0,0.85,0.75,0.05,248,True,
165,20260577,std,856.5,0.85,0.75,0.05,248,True,
165,20260577,pyramid,557.5,0.85,0.75,0.05,248,True,
166,20260578,std,813.0,0.85,0.75,0.05,248,True,
166,20260578,pyramid,586.0,0.85,0.75,0.05,248,True,
167,20260579,std,755.5,0.85,0.75,0.05,248,True,
167,20260579,pyramid,528.5,0.85,0.75,0.05,248,True,
168,20260580,std,688.0,0.85,0.75,0.05,248,True,
168,20260580,pyramid,535.5,0.85,0.75,0.05,248,True,
169,20260581,std,801.0,0.85,0.75,0.05,248,True,
169,20260581,pyramid,552.5,0.85,0.75,0.05,248,True,
170,20260582,std,725.5,0.85,0.75,0.05,248,True,
170,20260582,pyramid,544.5,0.85,0.75,0.05,248,True,
171,20260583,std,781.5,0.85,0.75,0.05,248,True,
171,20260583,pyramid,586.5,0.85,0.75,0.05,248,True,
172,20260584,std,800.5,0.85,0.75,0.05,248,True,
172,20260584,pyramid,545.5,0.85,0.75,0.05,248,True,
173,20260585,std,953.0,0.85,0.75,0.05,248,True,
173,20260585,pyramid,714.0,0.85,0.75,0.05,248,True,
174,20260586,std,730.5,0.85,0.75,0.05,248,True,
174,20260586,pyramid,586.5,0.85,0.75,0.05,248,True,
175,20260587,std,890.0,0.85,0.75,0.05,248,True,
175,20260587,pyramid,550.5,0.85,0.75,0.05,248,True,
176,20260588,std,749.0,0.85,0.75,0.05,248,True,
176,20260588,pyramid,601.5,0.85,0.75,0.05,248,True,
177,20260589,std,780.5,0.85,0.75,0.05,248,True,
177,20260589,pyramid,630.0,0.85,0.75,0.05,248,True,
178,20260590,std,763.0,0.85,0.75,0.05,248,True,
178,20260590,pyramid,622.0,0.85,0.75,0.05,248,True,
179,20260591,std,827.0,0.85,0.75,0.05,248,True,
179,20260591,pyramid,523.0,0.85,0.75,0.05,248,True,
180,20260592,std,797.0,0.85,0.75,0.05,248,True,
180,20260592,pyramid,502.5,0.85,0.75,0.05,248,True,
181,20260593,std,856.5,0.85,0.75,0.05,248,True,
181,20260593,pyramid,540.0,0.85,0.75,0.05,248,True,
182,20260594,std,781.0,0.85,0.75,0.05,248,True,
182,20260594,pyramid,613.0,0.85,0.75,0.05,248,True,
183,20260595,std,659.5,0.85,0.75,0.05,248,True,
183,20260595,pyramid,509.5,0.85,0.75,0.05,248,True,
184,20260596,std,785.5,0.85,0.75,0.05,248,True,
184,20260596,pyramid,509.0,0.85,0.75,0.05,248,True,
185,20260597,std,790.0,0.85,0.75,0.05,248,True,
185,20260597,pyramid,462.0,0.85,0.75,0.05,248,True,
186,20260598,std,921.5,0.85,0.75,0.05,248,True,
186,20260598,pyramid,579.0,0.85,0.75,0.05,248,True,
187,20260599,std,694.0,0.85,0.75,0.05,248,True,
187,20260599,pyramid,550.0,0.85,0.75,0.05,248,True,
188,20260600,std,779.0,0.85,0.75,0.05,248,True,
188,20260600,pyramid,513.5,0.85,0.75,0.05,248,True,
189,20260601,std,871.5,0.85,0.75,0.05,248,True,
189,20260601,pyramid,627.0,0.85,0.75,0.05,248,True,
190,20260602,std,698.5,0.85,0.75,0.05,248,True,
190,20260602,pyramid,603.5,0.85,0.75,0.05,248,True,
191,20260603,std,768.0,0.85,0.75,0.05,248,True,
191,20260603,pyramid,697.0,0.85,0.75,0.05,248,True,
192,20260604,std,896.0,0.85,0.75,0.05,248,True,
192,20260604,pyramid,643.5,0.85,0.75,0.05,248,True,
193,20260605,std,769.0,0.85,0.75,0.05,248,True,
193,20260605,pyramid,583.0,0.85,0.75,0.05,248,True,
194,20260606,std,695.0,0.85,0.75,0.05,248,True,
194,20260606,pyramid,615.0,0.85,0.75,0.05,248,True,
195,20260607,std,762.5,0.85,0.75,0.05,248,True,
195,20260607,pyramid,527.0,0.85,0.75,0.05,248,True,
196,20260608,std,804.0,0.85,0.75,0.05,248,True,
196,20260608,pyramid,556.5,0.85,0.75,0.05,248,True,
197,20260609,std,869.5,0.85,0.75,0.05,248,True,
197,20260609,pyramid,564.0,0.85,0.75,0.05,248,True,
198,20260610,std,861.0,0.85,0.75,0.05,248,True,
198,20260610,pyramid,534.5,0.85,0.75,0.05,248,True,
199,20260611,std,845.5,0.85,0.75,0.05,248,True,
199,20260611,pyramid,554.5,0.85,0.75,0.05,248,True,
200,20260612,std,896.0,0.85,0.75,0.05,248,True,
200,20260612,pyramid,572.0,0.85,0.75,0.05,248,True,
201,20260613,std,736.5,0.85,0.75,0.05,248,True,
201,20260613,pyramid,614.0,0.85,0.75,0.05,248,True,
202,20260614,std,836.5,0.85,0.75,0.05,248,True,
202,20260614,pyramid,487.5,0.85,0.75,0.05,248,True,
203,20260615,std,710.0,0.85,0.75,0.05,248,True,
203,20260615,pyramid,504.5,0.85,0.75,0.05,248,True,
